Date,Market/Asset,Contract Details,Action (Buy/Sell),Contracts/Size,Entry Price ($),Exit Price ($),Fees ($),Net Profit/Loss ($),Time (ET),Timezone,Datetime Acquired (UTC),Datetime Disposed (UTC),Holding Period,Proceeds ($),Cost Basis incl. Fees ($),Gain/Loss ($),Leg Type,Side Bought,Status,Settlement Result,Order ID
2026-09-09,"XRP 15-minute binary, close 26SEP092330",KXXRP15M-26SEP092330-30,Buy to Open (held to settlement),12.0,0.961,1.0,0.0312,0.4365,23:29:40,EDT,2026-09-10T03:29:40Z,2026-09-10T03:30:20Z,Short-term (under 1 hour),12.0,11.5632,0.4368,ENTRY,,SETTLED,YES,01a0895d-2ca0-731a-b9b6-21e7b1bd5d74
2026-09-09,"Bitcoin 15-minute binary, close 26SEP092345",KXBTC15M-26SEP092345-45,Buy to Open (held to settlement),0.02,0.979,1.0,0.0001,0.0003,23:44:30,EDT,2026-09-10T03:44:30Z,2026-09-10T03:45:20Z,Short-term (under 1 hour),0.02,0.0197,0.0003,ENTRY,,SETTLED,NO,01a0896a-c130-71b0-a10f-3ae39ac0d0f6
2026-09-10,"XRP 15-minute binary, close 26SEP100015",KXXRP15M-26SEP100015-15,Buy to Open (held to settlement),20.0,0.8,1.0,0.224,3.776,00:14:56,EDT,2026-09-10T04:14:56Z,2026-09-10T04:15:20Z,Short-term (under 1 hour),20.0,16.224,3.776,ENTRY,,SETTLED,YES,01a08986-9e00-794f-9027-e0db0cd08f7b
2026-09-10,"BNB 15-minute binary, close 26SEP100030",KXBNB15M-26SEP100030-30,Buy to Open (held to settlement),11.0,0.955,1.0,0.033,0.4619,00:29:30,EDT,2026-09-10T04:29:30Z,2026-09-10T04:30:20Z,Short-term (under 1 hour),11.0,10.538,0.462,ENTRY,,SETTLED,NO,01a08993-f410-7959-9123-772085ff358b
2026-09-10,"XRP 15-minute binary, close 26SEP100100",KXXRP15M-26SEP100100-00,Buy to Open (held to settlement),20.0,0.82,0.0,0.206,-16.6067,00:59:39,EDT,2026-09-10T04:59:39Z,2026-09-10T05:00:20Z,Short-term (under 1 hour),0.0,16.606,-16.606,ENTRY,,SETTLED,NO,01a089af-8e78-7331-8184-b3b164d784d7
2026-09-10,"Dogecoin 15-minute binary, close 26SEP100100",KXDOGE15M-26SEP100100-00,Buy to Open (held to settlement),20.0,0.8,1.0,0.224,3.776,00:59:41,EDT,2026-09-10T04:59:41Z,2026-09-10T05:00:20Z,Short-term (under 1 hour),20.0,16.224,3.776,ENTRY,,SETTLED,NO,01a089af-9260-72e9-a54d-94c2b6e45e79
2026-09-10,"Solana 15-minute binary, close 26SEP100115",KXSOL15M-26SEP100115-15,Buy to Open (held to settlement),20.0,0.978,1.0,0.03,0.4098,01:14:30,EDT,2026-09-10T05:14:30Z,2026-09-10T05:15:20Z,Short-term (under 1 hour),20.0,19.59,0.41,ENTRY,,SETTLED,YES,01a089bd-26f0-74d9-8a15-b57700609ec6
2026-09-10,"Bitcoin 15-minute binary, close 26SEP100115",KXBTC15M-26SEP100115-15,Buy to Open (held to settlement),20.0,0.953,1.0,0.062,0.8772,01:14:36,EDT,2026-09-10T05:14:36Z,2026-09-10T05:15:20Z,Short-term (under 1 hour),20.0,19.122,0.878,ENTRY,,SETTLED,YES,01a089bd-3e60-77ef-91e2-84d8c5939bf9
2026-09-10,"XRP 15-minute binary, close 26SEP100130",KXXRP15M-26SEP100130-30,Buy to Open (held to settlement),20.0,0.962,1.0,0.05,0.7088,01:29:30,EDT,2026-09-10T05:29:30Z,2026-09-10T05:30:20Z,Short-term (under 1 hour),20.0,19.29,0.71,ENTRY,,SETTLED,YES,01a089ca-e290-763f-99d2-5674a073e8da
2026-09-10,"BNB 15-minute binary, close 26SEP100130",KXBNB15M-26SEP100130-30,Buy to Open (held to settlement),18.64,0.94,0.0,0.0727,-17.5952,01:29:34,EDT,2026-09-10T05:29:34Z,2026-09-10T05:30:20Z,Short-term (under 1 hour),0.0,17.5943,-17.5943,ENTRY,,SETTLED,NO,01a089ca-f230-706f-a603-61676e3a35dd
2026-09-10,"BNB 15-minute binary, close 26SEP100145",KXBNB15M-26SEP100145-45,Buy to Open (held to settlement),17.45,0.94,1.0,0.0681,0.9781,01:44:45,EDT,2026-09-10T05:44:45Z,2026-09-10T05:45:20Z,Short-term (under 1 hour),17.45,16.4711,0.9789,ENTRY,,SETTLED,YES,01a089d8-d8c8-7e48-9a7b-573bd3ad4c35
2026-09-10,"Dogecoin 15-minute binary, close 26SEP100230",KXDOGE15M-26SEP100230-30,Buy to Open (held to settlement),20.0,0.978,1.0,0.03,0.4098,02:29:36,EDT,2026-09-10T06:29:36Z,2026-09-10T06:30:20Z,Short-term (under 1 hour),20.0,19.59,0.41,ENTRY,,SETTLED,YES,01a08a01-e880-766c-a65d-73e227ed3595
2026-09-10,"BNB 15-minute binary, close 26SEP100515",KXBNB15M-26SEP100515-15,Buy to Open (held to settlement),20.0,0.979,1.0,0.028,0.3912,05:14:43,EDT,2026-09-10T09:14:43Z,2026-09-10T09:15:20Z,Short-term (under 1 hour),20.0,19.608,0.392,ENTRY,,SETTLED,NO,01a08a99-13b8-7406-9eb1-d4bf9c2c8423
2026-09-10,"BNB 15-minute binary, close 26SEP100530",KXBNB15M-26SEP100530-30,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,05:29:55,EDT,2026-09-10T09:29:55Z,2026-09-10T09:30:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,NO,01a08aa6-fe38-7e5e-8f88-2cddef43caf0
2026-09-10,"Bitcoin 15-minute binary, close 26SEP100600",KXBTC15M-26SEP100600-00,Buy to Open (held to settlement),18.02,0.979,1.0,0.0252,0.3524,05:59:37,EDT,2026-09-10T09:59:37Z,2026-09-10T10:00:20Z,Short-term (under 1 hour),18.02,17.6668,0.3532,ENTRY,,SETTLED,NO,01a08ac2-2b40-7e92-ae43-8e8f283e1e8a
2026-09-10,"Bitcoin 15-minute binary, close 26SEP100645",KXBTC15M-26SEP100645-45,Buy to Open (held to settlement),20.0,0.974,1.0,0.034,0.4845,06:44:30,EDT,2026-09-10T10:44:30Z,2026-09-10T10:45:20Z,Short-term (under 1 hour),20.0,19.514,0.486,ENTRY,,SETTLED,YES,01a08aeb-46b0-7dca-bc56-0b3feeda7a35
2026-09-10,"XRP 15-minute binary, close 26SEP100715",KXXRP15M-26SEP100715-15,Buy to Open (held to settlement),19.84,0.966,1.0,0.0456,0.6289,07:14:37,EDT,2026-09-10T11:14:37Z,2026-09-10T11:15:20Z,Short-term (under 1 hour),19.84,19.211,0.629,ENTRY,,SETTLED,NO,01a08b06-d948-7722-ac47-cd127bb5f23a
2026-09-10,"Zcash 15-minute binary, close 26SEP100730",KXZEC15M-26SEP100730-30,Buy to Open (held to settlement),20.0,0.933,1.0,0.086,1.2524,07:29:54,EDT,2026-09-10T11:29:54Z,2026-09-10T11:30:20Z,Short-term (under 1 hour),20.0,18.746,1.254,ENTRY,,SETTLED,YES,01a08b14-d750-7c04-b034-e86c9386224f
2026-09-10,"Solana 15-minute binary, close 26SEP100745",KXSOL15M-26SEP100745-45,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,07:44:44,EDT,2026-09-10T11:44:44Z,2026-09-10T11:45:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,YES,01a08b22-6be0-7c7b-b553-37982f656cf8
2026-09-10,"XRP 15-minute binary, close 26SEP100815",KXXRP15M-26SEP100815-15,Buy to Open (held to settlement),20.0,0.965,1.0,0.046,0.6527,08:14:30,EDT,2026-09-10T12:14:30Z,2026-09-10T12:15:20Z,Short-term (under 1 hour),20.0,19.346,0.654,ENTRY,,SETTLED,NO,01a08b3d-ac70-7999-9d6f-13daa3157426
2026-09-10,"BNB 15-minute binary, close 26SEP100830",KXBNB15M-26SEP100830-30,Buy to Open (held to settlement),20.0,0.89,1.0,0.136,2.0629,08:29:38,EDT,2026-09-10T12:29:38Z,2026-09-10T12:30:20Z,Short-term (under 1 hour),20.0,17.936,2.064,ENTRY,,SETTLED,YES,01a08b4b-8750-7c2b-9880-c0bb2dbd5c96
2026-09-10,"NEAR 15-minute binary, close 26SEP100845",KXNEAR15M-26SEP100845-45,Buy to Open (held to settlement),20.0,0.939,1.0,0.08,1.1398,08:44:40,EDT,2026-09-10T12:44:40Z,2026-09-10T12:45:20Z,Short-term (under 1 hour),20.0,18.86,1.14,ENTRY,,SETTLED,YES,01a08b59-4ac0-72b9-91cb-2b62920ac3c9
2026-09-10,"BNB 15-minute binary, close 26SEP101045",KXBNB15M-26SEP101045-45,Buy to Open (held to settlement),13.0,0.946,1.0,0.0455,0.6555,10:44:51,EDT,2026-09-10T14:44:51Z,2026-09-10T14:45:20Z,Short-term (under 1 hour),13.0,12.3435,0.6565,ENTRY,,SETTLED,YES,01a08bc7-52b8-76e6-af4b-a703e8ea438c
2026-09-10,"Solana 15-minute binary, close 26SEP101100",KXSOL15M-26SEP101100-00,Buy to Open (held to settlement),10.0,0.976,1.0,0.016,0.2236,10:59:34,EDT,2026-09-10T14:59:34Z,2026-09-10T15:00:20Z,Short-term (under 1 hour),10.0,9.776,0.224,ENTRY,,SETTLED,YES,01a08bd4-cbf0-7c96-90a5-32518b6a3515
2026-09-10,"Solana 15-minute binary, close 26SEP101145",KXSOL15M-26SEP101145-45,Buy to Open (held to settlement),20.0,0.927,1.0,0.094,1.3652,11:44:46,EDT,2026-09-10T15:44:46Z,2026-09-10T15:45:20Z,Short-term (under 1 hour),20.0,18.634,1.366,ENTRY,,SETTLED,NO,01a08bfe-2db0-7949-894e-44bb207e6782
2026-09-10,"BNB 15-minute binary, close 26SEP101200",KXBNB15M-26SEP101200-00,Buy to Open (held to settlement),20.0,0.9624,1.0,0.05,0.7013,11:59:46,EDT,2026-09-10T15:59:46Z,2026-09-10T16:00:20Z,Short-term (under 1 hour),20.0,19.298,0.702,ENTRY,,SETTLED,YES,01a08c0b-e950-7f7e-b065-8bb9d324668f
2026-09-10,"Ethereum 15-minute binary, close 26SEP101245",KXETH15M-26SEP101245-45,Buy to Open (held to settlement),20.0,0.97,1.0,0.04,0.5592,12:44:36,EDT,2026-09-10T16:44:36Z,2026-09-10T16:45:20Z,Short-term (under 1 hour),20.0,19.44,0.56,ENTRY,,SETTLED,YES,01a08c34-f520-7301-96b1-2ebe0d73090a
2026-09-10,"BNB 15-minute binary, close 26SEP101315",KXBNB15M-26SEP101315-15,Buy to Open (held to settlement),20.0,0.925,1.0,0.096,1.4028,13:14:56,EDT,2026-09-10T17:14:56Z,2026-09-10T17:15:20Z,Short-term (under 1 hour),20.0,18.596,1.404,ENTRY,,SETTLED,YES,01a08c50-ba80-7026-8328-bac512178b4c
2026-09-10,"Hyperliquid 15-minute binary, close 26SEP101330",KXHYPE15M-26SEP101330-30,Buy to Open (held to settlement),3.0,0.972,1.0,0.0057,0.0782,13:29:50,EDT,2026-09-10T17:29:50Z,2026-09-10T17:30:20Z,Short-term (under 1 hour),3.0,2.9217,0.0783,ENTRY,,SETTLED,YES,01a08c5e-5eb0-7ed9-931e-c8868a1fce3b
2026-09-10,"XRP 15-minute binary, close 26SEP101430",KXXRP15M-26SEP101430-30,Buy to Open (held to settlement),20.0,0.979,1.0,0.028,0.3912,14:29:30,EDT,2026-09-10T18:29:30Z,2026-09-10T18:30:20Z,Short-term (under 1 hour),20.0,19.608,0.392,ENTRY,,SETTLED,YES,01a08c94-ff10-75d4-9cc9-3a25522610d0
2026-09-10,"BNB 15-minute binary, close 26SEP101515",KXBNB15M-26SEP101515-15,Buy to Open (held to settlement),16.75,0.973,1.0,0.0301,0.4214,15:14:46,EDT,2026-09-10T19:14:46Z,2026-09-10T19:15:20Z,Short-term (under 1 hour),16.75,16.3279,0.4221,ENTRY,,SETTLED,NO,01a08cbe-7070-7e45-92bf-201300e82cc7
2026-09-10,"Solana 15-minute binary, close 26SEP101545",KXSOL15M-26SEP101545-45,Buy to Open (held to settlement),20.0,0.919,1.0,0.104,1.5157,15:44:36,EDT,2026-09-10T19:44:36Z,2026-09-10T19:45:20Z,Short-term (under 1 hour),20.0,18.484,1.516,ENTRY,,SETTLED,NO,01a08cd9-c0a0-79bd-8f87-332db16b06d5
2026-09-10,"Solana 15-minute binary, close 26SEP101630",KXSOL15M-26SEP101630-30,Buy to Open (held to settlement),20.0,0.93,1.0,0.09,1.3088,16:29:57,EDT,2026-09-10T20:29:57Z,2026-09-10T20:30:20Z,Short-term (under 1 hour),20.0,18.69,1.31,ENTRY,,SETTLED,YES,01a08d03-4588-7172-a01d-c142177170de
2026-09-10,"Solana 15-minute binary, close 26SEP101700",KXSOL15M-26SEP101700-00,Buy to Open (held to settlement),20.0,0.909,1.0,0.114,1.7041,16:59:50,EDT,2026-09-10T20:59:50Z,2026-09-10T21:00:20Z,Short-term (under 1 hour),20.0,18.294,1.706,ENTRY,,SETTLED,NO,01a08d1e-a170-7d9c-8ba2-e80956583768
2026-09-10,"Zcash 15-minute binary, close 26SEP101715",KXZEC15M-26SEP101715-15,Buy to Open (held to settlement),8.0,0.975,1.0,0.0136,0.1863,17:14:30,EDT,2026-09-10T21:14:30Z,2026-09-10T21:15:20Z,Short-term (under 1 hour),8.0,7.8136,0.1864,ENTRY,,SETTLED,NO,01a08d2c-0ef0-797c-ad23-a76a09527c03
2026-09-10,"Ethereum 15-minute binary, close 26SEP101730",KXETH15M-26SEP101730-30,Buy to Open (held to settlement),20.0,0.959,1.0,0.054,0.7649,17:29:46,EDT,2026-09-10T21:29:46Z,2026-09-10T21:30:20Z,Short-term (under 1 hour),20.0,19.234,0.766,ENTRY,,SETTLED,YES,01a08d3a-0910-749a-aa55-25042062bbd1
2026-09-10,"Dogecoin 15-minute binary, close 26SEP101815",KXDOGE15M-26SEP101815-15,Buy to Open (held to settlement),20.0,0.0998,0.0,0.124,-2.1218,18:14:49,EDT,2026-09-10T22:14:49Z,2026-09-10T22:15:20Z,Short-term (under 1 hour),0.0,2.12,-2.12,ENTRY,,SETTLED,YES,01a08d63-47a8-7dfd-a532-3ec54343792a
2026-09-10,"Bitcoin 15-minute binary, close 26SEP101830",KXBTC15M-26SEP101830-30,Buy to Open (held to settlement),20.0,0.9779,1.0,0.03,0.4117,18:29:36,EDT,2026-09-10T22:29:36Z,2026-09-10T22:30:20Z,Short-term (under 1 hour),20.0,19.588,0.412,ENTRY,,SETTLED,NO,01a08d70-d080-7535-8bd9-dab55feb7ed7
2026-09-10,"NEAR 15-minute binary, close 26SEP101900",KXNEAR15M-26SEP101900-00,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,18:59:39,EDT,2026-09-10T22:59:39Z,2026-09-10T23:00:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,NO,01a08d8c-5378-7b07-a6c2-7808bf884b93
2026-09-10,"Bitcoin 15-minute binary, close 26SEP101945",KXBTC15M-26SEP101945-45,Buy to Open (held to settlement),20.0,0.978,1.0,0.03,0.4098,19:44:44,EDT,2026-09-10T23:44:44Z,2026-09-10T23:45:20Z,Short-term (under 1 hour),20.0,19.59,0.41,ENTRY,,SETTLED,YES,01a08db5-99e0-717e-8ea1-72cf801279e1
2026-09-10,"Bitcoin 15-minute binary, close 26SEP102030",KXBTC15M-26SEP102030-30,Buy to Open (held to settlement),20.0,0.9059,1.0,0.118,1.7626,20:29:33,EDT,2026-09-11T00:29:33Z,2026-09-11T00:30:20Z,Short-term (under 1 hour),20.0,18.236,1.764,ENTRY,,SETTLED,YES,01a08dde-a1c8-7b5c-9f7f-a5ff94de407c
2026-09-10,"BNB 15-minute binary, close 26SEP102045",KXBNB15M-26SEP102045-45,Buy to Open (held to settlement),20.0,0.975,1.0,0.034,0.4658,20:44:46,EDT,2026-09-11T00:44:46Z,2026-09-11T00:45:20Z,Short-term (under 1 hour),20.0,19.534,0.466,ENTRY,,SETTLED,YES,01a08dec-9030-7049-a3ee-9876dd90ead9
2026-09-10,"XRP 15-minute binary, close 26SEP102145",KXXRP15M-26SEP102145-45,Buy to Open (held to settlement),20.0,0.974,1.0,0.034,0.4845,21:44:47,EDT,2026-09-11T01:44:47Z,2026-09-11T01:45:20Z,Short-term (under 1 hour),20.0,19.514,0.486,ENTRY,,SETTLED,YES,01a08e23-8298-7b89-9bf9-52bf75c4b853
2026-09-10,"NEAR 15-minute binary, close 26SEP102245",KXNEAR15M-26SEP102245-45,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,22:44:30,EDT,2026-09-11T02:44:30Z,2026-09-11T02:45:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,NO,01a08e5a-2eb0-7ac2-9b20-4ce6cda5db33
2026-09-10,"Ethereum 15-minute binary, close 26SEP102315",KXETH15M-26SEP102315-15,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,23:14:33,EDT,2026-09-11T03:14:33Z,2026-09-11T03:15:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,YES,01a08e75-b1a8-7058-8a94-987f925eebda
2026-09-10,"Hyperliquid 15-minute binary, close 26SEP102330",KXHYPE15M-26SEP102330-30,Buy to Open (held to settlement),20.0,0.919,1.0,0.104,1.5157,23:29:32,EDT,2026-09-11T03:29:32Z,2026-09-11T03:30:20Z,Short-term (under 1 hour),20.0,18.484,1.516,ENTRY,,SETTLED,NO,01a08e83-6960-7dad-ac70-b6c268b659c7
2026-09-10,"Hyperliquid 15-minute binary, close 26SEP110000",KXHYPE15M-26SEP110000-00,Buy to Open (held to settlement),20.0,0.96,1.0,0.052,0.7462,23:59:32,EDT,2026-09-11T03:59:32Z,2026-09-11T04:00:20Z,Short-term (under 1 hour),20.0,19.252,0.748,ENTRY,,SETTLED,NO,01a08e9e-e0a0-7600-aee5-5231105626ff
2026-09-11,"NEAR 15-minute binary, close 26SEP110015",KXNEAR15M-26SEP110015-15,Buy to Open (held to settlement),15.0,0.967,1.0,0.033,0.4614,00:14:44,EDT,2026-09-11T04:14:44Z,2026-09-11T04:15:20Z,Short-term (under 1 hour),15.0,14.538,0.462,ENTRY,,SETTLED,YES,01a08eac-cb20-7d2b-98a5-9a02c1eada8d
2026-09-11,"Hyperliquid 15-minute binary, close 26SEP110045",KXHYPE15M-26SEP110045-45,Buy to Open (held to settlement),20.0,0.963,1.0,0.048,0.6901,00:44:30,EDT,2026-09-11T04:44:30Z,2026-09-11T04:45:20Z,Short-term (under 1 hour),20.0,19.308,0.692,ENTRY,,SETTLED,YES,01a08ec8-0bb0-7548-a7fb-e14089d02eb3
2026-09-11,"Solana 15-minute binary, close 26SEP110100",KXSOL15M-26SEP110100-00,Buy to Open (held to settlement),20.0,0.974,1.0,0.034,0.4845,00:59:32,EDT,2026-09-11T04:59:32Z,2026-09-11T05:00:20Z,Short-term (under 1 hour),20.0,19.514,0.486,ENTRY,,SETTLED,NO,01a08ed5-cf20-75ef-8fb9-464cc442b844
2026-09-11,"Bitcoin 15-minute binary, close 26SEP110115",KXBTC15M-26SEP110115-15,Buy to Open (held to settlement),9.02,0.961,1.0,0.0235,0.3281,01:14:42,EDT,2026-09-11T05:14:42Z,2026-09-11T05:15:35Z,Short-term (under 1 hour),9.02,8.6917,0.3283,ENTRY,,SETTLED,YES,01a08ee3-b1d0-7505-bf44-d333efb8ed5f
2026-09-11,"Bitcoin 15-minute binary, close 26SEP110130",KXBTC15M-26SEP110130-30,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,01:29:30,EDT,2026-09-11T05:29:30Z,2026-09-11T05:30:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,NO,01a08ef1-3e90-7eb7-803f-c3856486a6ed
2026-09-11,"XRP 15-minute binary, close 26SEP110200",KXXRP15M-26SEP110200-00,Buy to Open (held to settlement),20.0,0.936,1.0,0.082,1.1961,01:59:50,EDT,2026-09-11T05:59:50Z,2026-09-11T06:00:20Z,Short-term (under 1 hour),20.0,18.802,1.198,ENTRY,,SETTLED,NO,01a08f0d-03f0-7a3d-8f58-ee05fa5bf56f
2026-09-11,"XRP 15-minute binary, close 26SEP110245",KXXRP15M-26SEP110245-45,Buy to Open (held to settlement),20.0,0.959,1.0,0.054,0.7649,02:44:30,EDT,2026-09-11T06:44:30Z,2026-09-11T06:45:20Z,Short-term (under 1 hour),20.0,19.234,0.766,ENTRY,,SETTLED,YES,01a08f35-e8b0-7e68-9bba-b4a21ec8cb7e
2026-09-11,"Hyperliquid 15-minute binary, close 26SEP110245",KXHYPE15M-26SEP110245-45,Buy to Open (held to settlement),20.0,0.948,1.0,0.068,0.9709,02:44:33,EDT,2026-09-11T06:44:33Z,2026-09-11T06:45:20Z,Short-term (under 1 hour),20.0,19.028,0.972,ENTRY,,SETTLED,YES,01a08f35-f468-74a5-b953-e6c9b209adef
2026-09-11,"Hyperliquid 15-minute binary, close 26SEP110315",KXHYPE15M-26SEP110315-15,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,03:14:31,EDT,2026-09-11T07:14:31Z,2026-09-11T07:15:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,YES,01a08f51-63d8-7ec6-8b35-14ab624aa9ac
2026-09-11,"Dogecoin 15-minute binary, close 26SEP110345",KXDOGE15M-26SEP110345-45,Buy to Open (held to settlement),19.5,0.917,1.0,0.1033,1.5146,03:44:37,EDT,2026-09-11T07:44:37Z,2026-09-11T07:45:20Z,Short-term (under 1 hour),19.5,17.9848,1.5152,ENTRY,,SETTLED,NO,01a08f6c-f288-71e4-b5cf-6da4ed3c3c2e
2026-09-11,"BNB 15-minute binary, close 26SEP110445",KXBNB15M-26SEP110445-45,Buy to Open (held to settlement),20.0,0.979,1.0,0.028,0.3912,04:44:37,EDT,2026-09-11T08:44:37Z,2026-09-11T08:45:20Z,Short-term (under 1 hour),20.0,19.608,0.392,ENTRY,,SETTLED,YES,01a08fa3-e108-71f9-a664-76832247ee3a
2026-09-11,"NEAR 15-minute binary, close 26SEP110515",KXNEAR15M-26SEP110515-15,Buy to Open (held to settlement),20.0,0.967,1.0,0.044,0.6153,05:14:39,EDT,2026-09-11T09:14:39Z,2026-09-11T09:15:20Z,Short-term (under 1 hour),20.0,19.384,0.616,ENTRY,,SETTLED,YES,01a08fbf-6018-75bd-8edf-cb623abb789c
2026-09-11,"Dogecoin 15-minute binary, close 26SEP110615",KXDOGE15M-26SEP110615-15,Buy to Open (held to settlement),20.0,0.97,1.0,0.04,0.5592,06:14:40,EDT,2026-09-11T10:14:40Z,2026-09-11T10:15:20Z,Short-term (under 1 hour),20.0,19.44,0.56,ENTRY,,SETTLED,YES,01a08ff6-5280-7090-b7c7-e0b59f7ddef8
2026-09-11,"BNB 15-minute binary, close 26SEP110700",KXBNB15M-26SEP110700-00,Buy to Open (held to settlement),2.0,0.977,1.0,0.0032,0.0428,06:59:30,EDT,2026-09-11T10:59:30Z,2026-09-11T11:00:20Z,Short-term (under 1 hour),2.0,1.9572,0.0428,ENTRY,,SETTLED,NO,01a0901f-5e50-7ce2-bf0c-c2b2a04d34b9
2026-09-11,"Bitcoin 15-minute binary, close 26SEP110700",KXBTC15M-26SEP110700-00,Buy to Open (held to settlement),0.02,0.95,1.0,0.0001,0.0009,06:59:48,EDT,2026-09-11T10:59:48Z,2026-09-11T11:00:20Z,Short-term (under 1 hour),0.02,0.0191,0.0009,ENTRY,,SETTLED,NO,01a0901f-a4a0-7b40-8bb3-e041fc1b7ae4
2026-09-11,"XRP 15-minute binary, close 26SEP110730",KXXRP15M-26SEP110730-30,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,07:29:42,EDT,2026-09-11T11:29:42Z,2026-09-11T11:30:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,YES,01a0903b-0470-780d-b21a-495bb2e6238d
2026-09-11,"Hyperliquid 15-minute binary, close 26SEP110800",KXHYPE15M-26SEP110800-00,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,07:59:47,EDT,2026-09-11T11:59:47Z,2026-09-11T12:00:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,YES,01a09056-8f38-7ae0-8c77-a4a49358601a
2026-09-11,"Solana 15-minute binary, close 26SEP110830",KXSOL15M-26SEP110830-30,Buy to Open (held to settlement),20.0,0.591,0.0,0.338,-12.1585,08:29:30,EDT,2026-09-11T12:29:30Z,2026-09-11T12:30:20Z,Short-term (under 1 hour),0.0,12.158,-12.158,ENTRY,,SETTLED,YES,01a09071-c410-7a31-9bc3-a634bef6bd8d
2026-09-11,"XRP 15-minute binary, close 26SEP111230",KXXRP15M-26SEP111230-30,Buy to Open (held to settlement),20.0,0.9776,1.0,0.03,0.4173,12:29:30,EDT,2026-09-11T16:29:30Z,2026-09-11T16:30:20Z,Short-term (under 1 hour),20.0,19.582,0.418,ENTRY,,SETTLED,NO,01a0914d-7e10-7553-bb92-856ff5fa35e8
2026-09-11,"Zcash 15-minute binary, close 26SEP111445",KXZEC15M-26SEP111445-45,Buy to Open (held to settlement),3.0,0.973,1.0,0.0054,0.0754,14:44:50,EDT,2026-09-11T18:44:50Z,2026-09-11T18:45:20Z,Short-term (under 1 hour),3.0,2.9244,0.0756,ENTRY,,SETTLED,YES,01a091c9-64d0-7759-bfda-ffb6ca3384d1
2026-09-11,"XRP 15-minute binary, close 26SEP111515",KXXRP15M-26SEP111515-15,Buy to Open (held to settlement),20.0,0.938,1.0,0.08,1.1585,15:14:37,EDT,2026-09-11T19:14:37Z,2026-09-11T19:15:20Z,Short-term (under 1 hour),20.0,18.84,1.16,ENTRY,,SETTLED,NO,01a091e4-a948-7868-ad1b-1c15f7bbd85f
2026-09-11,"Ethereum 15-minute binary, close 26SEP111645",KXETH15M-26SEP111645-45,Buy to Open (held to settlement),20.0,0.977,1.0,0.03,0.4285,16:44:32,EDT,2026-09-11T20:44:32Z,2026-09-11T20:45:20Z,Short-term (under 1 hour),20.0,19.57,0.43,ENTRY,,SETTLED,NO,01a09236-fb80-725b-897b-36226da574ff
2026-09-11,"Bitcoin 15-minute binary, close 26SEP111730",KXBTC15M-26SEP111730-30,Buy to Open (held to settlement),20.0,0.975,1.0,0.034,0.4658,17:29:31,EDT,2026-09-11T21:29:31Z,2026-09-11T21:30:20Z,Short-term (under 1 hour),20.0,19.534,0.466,ENTRY,,SETTLED,YES,01a09260-2a78-7384-a172-bc3faa2efacd
2026-09-11,"Bitcoin 15-minute binary, close 26SEP111745",KXBTC15M-26SEP111745-45,Buy to Open (held to settlement),20.0,0.979,1.0,0.028,0.3912,17:44:30,EDT,2026-09-11T21:44:30Z,2026-09-11T21:45:20Z,Short-term (under 1 hour),20.0,19.608,0.392,ENTRY,,SETTLED,NO,01a0926d-e230-78c9-ab06-1ce205ad8ce3
2026-09-11,"XRP 15-minute binary, close 26SEP111845",KXXRP15M-26SEP111845-45,Buy to Open (held to settlement),20.0,0.92,1.0,0.102,1.4969,18:44:30,EDT,2026-09-11T22:44:30Z,2026-09-11T22:45:20Z,Short-term (under 1 hour),20.0,18.502,1.498,ENTRY,,SETTLED,NO,01a092a4-d0b0-7c4b-bb6a-c7b975890111
2026-09-11,"Solana 15-minute binary, close 26SEP111845",KXSOL15M-26SEP111845-45,Buy to Open (held to settlement),20.0,0.83,1.0,0.196,3.2024,18:44:33,EDT,2026-09-11T22:44:33Z,2026-09-11T22:45:20Z,Short-term (under 1 hour),20.0,16.796,3.204,ENTRY,,SETTLED,NO,01a092a4-dc68-7354-bada-4ee979dca045
